Product(original_price=5.0, new_price=3.0, offer_percentage=0, item_name='White Beans Premium', item_link='https://minutes.noon.com/saudi-en/now-product/Z658EFD9FEE1341E98ACEZ-1')
Product(original_price=46.95, new_price=28.15, offer_percentage=0, item_name='Dark Spot Clearing Turmeric Cream', item_link='https://minutes.noon.com/saudi-en/now-product/Z72FC5887F057FE6480FDZ-1')
Product(original_price=484.35, new_price=244.0, offer_percentage=0, item_name='DualSense Wireless Controller For PlayStation 5 - White', item_link='https://minutes.noon.com/saudi-en/now-product/ZA3A7D22313A02EB006F6Z-1')
Product(original_price=359.0, new_price=153.55, offer_percentage=0, item_name='IH 40 Nebuliser With Ultrasound Technology', item_link='https://minutes.noon.com/saudi-en/now-product/Z8DA519769CB918C2F48CZ-1')
Product(original_price=430.0, new_price=199.0, offer_percentage=0, item_name='Bright Crystal EDT', item_link='https://minutes.noon.com/saudi-en/now-product/Z438BE7E3070EE3242C6FZ-1')
Product(original_price=41.85, new_price=25.1, offer_percentage=0, item_name='Optic White Oxygen Technology Toothpaste', item_link='https://minutes.noon.com/saudi-en/now-product/Z73A39089643A69B82C45Z-1')
Product(original_price=199.0, new_price=65.0, offer_percentage=0, item_name='Desire EDP, Long Lasting Perfume for Men 100 ml', item_link='https://minutes.noon.com/saudi-en/now-product/ZA38C1C56E26E9E9FEE29Z-1')
Product(original_price=155.3, new_price=69.0, offer_percentage=0, item_name='5-Piece Professional Hair Dryer Set,1800W', item_link='https://minutes.noon.com/saudi-en/now-product/Z546C931EADB2E2FB1B79Z-1')
|Product(original_price=139.0, new_price=79.0, offer_percentage=0, item_name='Singi Power Bank – High-Capacity Portable Charger for Smartphones, Tablets, and More || Charge Multiple Devices Simultaneously || Compact, Convenient, and Travel-Friendly -', item_link='https://minutes.noon.com/saudi-en/now-product/Z00166A68C59372D4E154Z-1')|
Product(original_price=104.0, new_price=55.0, offer_percentage=0, item_name='Bye Bye Blackhead Bubble Cleanser', item_link='https://minutes.noon.com/saudi-en/now-product/ZDEBC8E293FE6B750450EZ-1')
Product(original_price=99.0, new_price=59.0, offer_percentage=0, item_name='Kimba Light Powerful Desktop 5-Port Charger', item_link='https://minutes.noon.com/saudi-en/now-product/ZE8EECF8665D8A132A4E5Z-1')
